"","models","AIC","diff","wi","aicweights"
"1","fit_bm","-660882.198075728","49.0884284012718","2.19070152218494e-11","2.19046097518439e-11"
"2","fit_eb","-660879.131524522","52.1549796072068","4.72813726633518e-12","4.72761809965451e-12"
"3","fit_ou","-660931.286504129","0","1","0.999890196360337"
"4","fit_clim1","-660880.284860111","51.0016440175241","8.41654243853662e-12","8.41561827154349e-12"
"5","fit_clim2","-660869.641225113","61.6452790154144","4.1105292611069e-14","4.11007791003309e-14"
"6","fit_clim3","-660900.421194721","30.8653094077017","1.98464676687495e-07","1.9844288454365e-07"
"7","fit_clim4","-660913.049365907","18.2371382217389","0.000109611406948435","0.000109599371217003"
"8","fit_clim5","-660883.172348331","48.1141557976371","3.56569192757932e-11","3.56530040162775e-11"
"9","fit_clim6","-660888.442218155","42.8442859733477","4.97143207897888e-10","4.97088619764227e-10"
"10","fit_clim7","-660804.448330762","126.838173366617","2.86708524756547e-28","2.86677043117006e-28"
"11","fit_clim8","-660892.993085278","38.293418851099","4.83826609349096e-09","4.83773483426424e-09"
"12","fit_clim9","-660887.835890964","43.4506131648086","3.67129458395077e-10","3.67089146244318e-10"
"13","fit_clim10","-660802.932772299","128.353731830022","1.34382051637884e-28","1.34367295999508e-28"
"14","fit_clim11","-660881.417451405","49.8690527242143","1.48276659071701e-11","1.48260377754857e-11"
"15","fit_clim12","-660881.806584251","49.4799198776018","1.80124138248399e-11","1.80104359962428e-11"
"16","fit_clim13","-660882.023209754","49.2632943748031","2.00729658770976e-11","2.00707617923855e-11"
