curve_no,curve_name,lm1,lm2,ptswanted,Colors,Module,Bone
1,Nasal_midline,1,4,25,nasal,nasal,nasal
2,Nasal_posterior,4,3,5,nasal,nasal,nasal
3,Nasal_lateral,3,2,25,nasal,nasal,nasal
4,Nasal_anterior,2,1,5,nasal,nasal,nasal
5,Premaxilla_anterior,5,6,10,premax,premax_d,premaxilla
6,Premaxilla_dorsal,6,7,15,premax,premax_d,premaxilla
7,Premaxilla_posterior,7,8,15,premax,premax_d,premaxilla
8,Premaxilla_lateral_(ventral_margin),8,5,10,premax,premax_d,premaxilla
9,Maxilla_anterior,9,10,10,maxilla,max_d,maxilla
10,Maxilla_dorsal,10,11,15,maxilla,max_d,maxilla
11,Maxilla_posterior_dorsal_(nasal_to_orbit),11,12,5,maxilla,max_d,maxilla
12,Maxilla_orbit,12,13,7,maxilla,max_d,maxilla
13,Maxilla_orbit_to_zygomatic,13,14,10,maxilla,max_d,maxilla
14,Maxilla_posterior_ventral,14,15,8,maxilla,max_d,maxilla
15,Maxilla_ventral_tooth_row,15,9,20,maxilla,max_d,maxilla
16,Jugal_dorsal,16,18,20,jugal,jugal,jugal
17,Jugal_ventral,18,17,15,jugal,jugal,jugal
18,Jugal_anterior,17,16,8,jugal,jugal,jugal
19,Frontal_anterior_medial,19,24,8,frontal,frontal,frontal
20,Frontal_dorsal_anterior_lateral,24,23,8,frontal,frontal,frontal
21,Frontal_orbit,23,22,15,frontal,frontal,frontal
22,Frontal_posterior_orbit_to_vault,22,21,15,frontal,frontal,frontal
23,Frontal_posterior,21,20,15,frontal,frontal,frontal
24,Frontal_midline,20,19,15,frontal,frontal,frontal
25,Parietal_midline,25,26,15,parietal,parietal,parietal
26,Parietal_posterior,26,27,15,parietal,parietal,parietal
27,Parietal_lateral,27,28,12,parietal,parietal,parietal
28,Parietal_vault_to_anterior_lateral,28,29,5,parietal,parietal,parietal
29,Parietal_anterior_lateral_to_midline,29,25,15,parietal,parietal,parietal
30,Glenoid_anterior,34,35,8,glenoid,glenoid,squamosal
31,Glenoid_posterior,35,34,8,glenoid,glenoid,squamosal
32,Squamosal_zygomatic_ventral,32,33,8,squamosal,squam_z,squamosal
33,Squamosal_zygomatic_dorsal,33,32,15,squamosal,squam_z,squamosal
34,Squamosal_anterior_vault,31,30,8,squamosal,squam_v,squamosal
35,Squamosal_dorsal_vault,30,37,10,squamosal,squam_v,squamosal
36,Squamosal_posterior_vault,37,36,5,squamosal,squam_v,squamosal
37,Squamosal_ventral_vault_,36,31,10,squamosal,squam_v,squamosal
38,Supraoccipital_midline,39,40,12,occipital,supraocc,occipital
39,Foramen_magnum_dorsal,40,41,8,occipital,supraocc,occipital
40,Exoccipital_dorsal,41,42,4,occipital,supraocc_cond,occipital
41,Exocciptal_dorsal_lateral_to_paraoccipital,42,43,6,occipital,supraocc,occipital
42,Paraoccipital_to_lateral_occipital,43,44,8,occipital,supraocc,occipital
43,Occipital_lateral_to_suture_with_squamosal,44,45,8,occipital,supraocc,occipital
44,Supraoccipital_dorsal,45,39,10,occipital,supraocc,occipital
45,Exoccipital_medial,41,46,8,occipital,occ_cond,occipital
46,Exoccipital_ventral,46,47,4,occipital,occ_cond,occipital
47,Exoccipital_lateral,47,42,8,occipital,occ_cond,occipital
48,Basioccipital_midline,48,49,8,basiocc,basiocc,basiocc
49,Basioccipital_anterior,49,50,3,basiocc,basiocc,basiocc
50,Basioccipital_lateral,50,47,10,basiocc,basiocc,basiocc
51,Basioccipital_posterior,46,48,3,basiocc,basiocc,basiocc
52,Basisphenoid_midline,54,51,12,sphenoid,basisph,sphenoid
53,Basisphenoid_anterior,51,52,3,sphenoid,basisph,sphenoid
54,Basisphenoid_lateral,52,53,15,sphenoid,basisph,sphenoid
55,Basisphenoid_posterior,53,54,5,sphenoid,basisph,sphenoid
56,Palatine_midline,55,56,7,palatine,palatine,palatine
57,Palatine_lateral,56,58,10,palatine,palatine,palatine
58,Palatine_posterior_lateral_to_pterygoid,58,57,7,palatine,palatine,palatine
59,Palatine-pterygoid_to_posterior_midline,57,55,10,palatine,palatine,palatine
60,Pterygoid_ventral_t_o_tip,57,59,2,pterygoid,pterygoid,pterygoid
61,Pterygoid_posterior_,59,60,4,pterygoid,pterygoid,pterygoid
62,Pterygoid_base,60,57,6,pterygoid,pterygoid,pterygoid
63,Maxilla_ventral_midline,61,62,10,maxvent,max_v,maxilla
64,Maxilla_ventral_anterior,62,63,5,maxvent,max_v,maxilla
65,Maxilla_ventral_lateral,63,58,20,maxvent,max_v,maxilla
66,Maxilla_ventral_posterior,58,61,12,maxvent,max_v,maxilla
67,Premaxilla_ventral_posterior,64,66,8,premaxvent,premax_v,premaxilla
68,Premaxilla_ventral_lateral,66,65,6,premaxvent,premax_v,premaxilla
69,Premaxilla_ventral_medial,65,64,8,premaxvent,premax_v,premaxilla
